title,location,seniority_level,employment_type,industries,company_name,time_posted,num_applicants,inferred_skills,skills_combined
Data Analyst,India,Associate,Full-time,Software Development,Stader Labs,2025-05-03,0,"['Sql', 'Excel', 'Data Visualization', 'Power Bi', 'Statistics', 'Data Cleaning']",Sql Excel Data Visualization Power Bi Statistics Data Cleaning
Pharma Analytics,"Bangalore Urban, Karnataka, India",Mid-Senior level,Full-time,Outsourcing and Offshoring Consulting and Business Consulting and Services,Wns,2025-05-04,0,"['Sql', 'Pharmaceutical Data', 'Data Analysis', 'Excel', 'Statistics']",Sql Pharmaceutical Data Data Analysis Excel Statistics
Data Analyst - Quality Assurance,"Bengaluru, Karnataka, India",Entry level,Full-time,Software Development,Glean,2025-05-01,0,"['Sql', 'Excel', 'Data Visualization', 'Power Bi', 'Statistics', 'Data Cleaning']",Sql Excel Data Visualization Power Bi Statistics Data Cleaning
AI Research Scientist,"Pittsburgh, PA",Associate,Full-time,Software Development,Bosch Usa,2025-05-02,0,"['Ai', 'Research', 'Machine Learning', 'Python', 'Deep Learning']",Ai Research Machine Learning Python Deep Learning
Data Scientist,"Atlanta, GA",Not Applicable,Full-time,"Transportation, Logistics, Supply Chain and Storage",Tombras,2025-05-02,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
Solution Data Scientist,"Mountain View, CA",Associate,Full-time,IT Services and IT Consulting,Datavisor,2025-05-02,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
Data Scientist 1,"Chicago, IL",Not Applicable,Full-time,"Software Development, Financial Services, and Technology, Information and Internet",Paypal,2025-05-01,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
Data Scientist,"San Antonio, TX",Entry level,Full-time,Investment Management,Victory Capital,2025-05-03,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
"Senior Data Scientist, Full-time, Days","Chicago, IL",Not Applicable,Full-time,Hospitals and Health Care,Northwestern Medicine,2025-05-01,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
Data Scientist,Washington DC-Baltimore Area,Associate,Full-time,Financial Services,Vantagescore®,2025-05-02,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
AI Research Scientist – GenAI,"Sunnyvale, CA",Mid-Senior level,Full-time,Research,Bosch Usa,2025-05-02,0,"['Ai', 'Research', 'Machine Learning', 'Python', 'Deep Learning']",Ai Research Machine Learning Python Deep Learning
"Senior Data Scientist (L5), Games",United States,Not Applicable,Full-time,Entertainment Providers,Netflix,2025-05-03,0,"['Python', 'Machine Learning', 'Data Analysis', 'Statistics', 'Pandas', 'Tensorflow']",Python Machine Learning Data Analysis Statistics Pandas Tensorflow
